Origami cat,https://www.pinterest.com/pin/914862420508638/,https://i.pinimg.com/736x/b2/c6/2a/b2c62a5f6425089ed0ff1e3317d9d341.jpg,Paper
Paper tulips,https://www.pinterest.com/pin/140806233803860/,https://i.pinimg.com/236x/d3/c4/21/d3c421c1388ec9451958c3ad26d2297a.jpg,Paper
Origami daffodil,https://www.pinterest.com/pin/140806233680720/,https://i.pinimg.com/236x/7b/d2/39/7bd2397205eb56137cdc1b01cb8f9ab1.jpg,Paper
Origami teddy bear,https://www.pinterest.com/pin/10062799163132386/,https://i.pinimg.com/236x/fa/0b/74/fa0b74299d541d38fe9c7ab0e964e313.jpg,Paper
Origami dove,https://www.pinterest.com/pin/3237030977576828/,https://i.pinimg.com/236x/c4/a6/5a/c4a65a6637033454f33800e484978d1d.jpg,Paper
Crochet rabbit,https://www.pinterest.com/pin/4925880835929740/,https://i.pinimg.com/236x/2e/4c/78/2e4c782d5f2bce4c611c48657d5766df.jpg,"Yarn, crochet hook"
Crochet puppy,https://www.pinterest.com/pin/155303888061871715/,https://i.pinimg.com/236x/7e/4b/31/7e4b31e73982153d46877cf02a68c1a9.jpg,"Yarn, crochet hook"
Crochet honey bear,https://www.pinterest.com/pin/705446729153569317/,https://i.pinimg.com/236x/fe/f6/81/fef681c3ff5d8b2e29c3b625a5570275.jpg,"Yarn, crochet hook"
Crochet penguin,https://www.pinterest.com/pin/705446729157685780/,https://i.pinimg.com/474x/30/e2/4f/30e24fe414b9942d766c5a001a0493d7.jpg,"Yarn, crochet hook"
Crochet triceratops,https://www.pinterest.com/pin/3940718419663862/,https://i.pinimg.com/236x/7b/2c/af/7b2caf15e069f303798beb40b0e62caf.jpg,"Yarn, crochet hook"
Chubby kitten drawing,,https://beautifuldawndesigns.net/wp-content/uploads/2020/08/cat-laying-down-1.jpeg,"Paper, pencil"
Bunnies huggin drawing,,https://beautifuldawndesigns.net/wp-content/uploads/2020/08/bunnies-drawing-1.jpeg,"Paper, pencil"
Kitten holding a strawberry drawing,,https://beautifuldawndesigns.net/wp-content/uploads/2022/12/cute-drawings-easy-2.jpg,"Paper, pencil"
Fluffy sheep drawing,,https://beautifuldawndesigns.net/wp-content/uploads/2024/05/cute-drawings-easy-5.jpg,"Paper, pencil"
Bear having a snack drawing,,https://beautifuldawndesigns.net/wp-content/uploads/2024/05/cute-drawings-easy-1.jpg,"Paper, pencil"
Cat in a mug drawing,,https://beautifuldawndesigns.net/wp-content/uploads/2024/05/cute-drawings-easy-4.jpg,"Paper, pencil"
Little shark drawing,,https://beautifuldawndesigns.net/wp-content/uploads/2020/08/simple-drawing-ideas-easy-3.jpg,"Paper, pencil"
Tiny penguin drawing,,https://beautifuldawndesigns.net/wp-content/uploads/2020/08/simple-drawing-ideas-easy-1.jpg,"Paper, pencil"
Flower drawing,,https://i.pinimg.com/736x/aa/a4/f5/aaa4f5d8ed01e23b48d269018d399372.jpg,"Paper, pencil"
Bird drawing,,"https://ih1.redbubble.net/image.662581288.1503/farp,small,wall_texture,product,750x1000.u2.jpg","Paper, pencil"
